,client_id,workflow_id,job_id,task_id,worker_id,worker_arrival_time,exec_start_time,exec_end_time,deadline
82,0,6,4,1,f274c22f-f087-4578-be11-1a63c308cc36,159.0,214.37013023212268,247.8624230928213,283
83,2,8,2004,4,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f,218.20257340116999,223.57106684077434,249.70418385254317,305
84,0,6,7,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,242.0,242.0,249.97627671238578,366
85,1,7,1007,0,4477df26-a9e1-4942-86b6-f9bc38e48340,241.0,241.0,250.603074707002,381
86,2,8,2007,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,235.0,235.0,255.883710616836,395
87,1,7,1006,2,6aae7612-e4d6-48e8-b447-8aae7480fc76,221.5240289926322,225.20465436642223,256.0661766409264,352
88,0,6,4,2,717d64da-bb85-4ad2-a257-b5034f1d57cd,247.8624230928213,247.8624230928213,256.6255928156702,283
89,1,7,1007,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,250.603074707002,250.603074707002,257.48403363637334,381
90,2,8,2005,4,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,232.88265921073452,232.88265921073452,258.1989658293647,333
91,2,8,2006,2,0daca965-279b-432d-a55b-cbacf2a3ec8c,226.7077345008275,226.7077345008275,259.32805416155145,366
92,2,8,2007,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,255.883710616836,257.48403363637334,264.3098431615197,395
93,1,7,1006,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,256.0661766409264,256.6255928156702,265.0381202299013,352
94,2,8,2006,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,259.32805416155145,265.0381202299013,273.269595109482,366
95,1,7,1005,2,f274c22f-f087-4578-be11-1a63c308cc36,189.2213801194359,247.8624230928213,279.59129746685676,319
96,0,6,4,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf,256.6255928156702,256.6255928156702,280.2424391416464,283
97,2,8,2008,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,261.0,261.0,280.99208778689547,421
98,1,7,1008,0,4477df26-a9e1-4942-86b6-f9bc38e48340,272.0,272.0,282.31050308589903,412
99,0,6,4,4,aa421654-f71c-474c-b528-55d93c8d2a7e,280.2424391416464,280.2424391416464,282.6362940757178,283
100,0,6,8,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,275.0,275.0,283.3777691475668,399
101,1,7,1006,4,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f,265.0381202299013,265.0381202299013,288.396552452728,352
102,1,7,1005,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,279.59129746685676,279.59129746685676,289.04199399575833,319
103,1,7,1007,2,0daca965-279b-432d-a55b-cbacf2a3ec8c,250.603074707002,259.32805416155145,290.47152448316626,381
104,2,8,2008,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,280.99208778689547,283.3777691475668,291.6472812148971,421
105,1,7,1007,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,290.47152448316626,290.47152448316626,296.86195854983384,381
106,2,8,2006,4,28ac5dc2-d1af-458d-a52c-1d742ccb90cb,273.269595109482,273.269595109482,297.2324145920342,366
107,1,7,1008,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,282.31050308589903,291.6472812148971,299.2393962395016,412
108,2,8,2008,2,6aae7612-e4d6-48e8-b447-8aae7480fc76,280.99208778689547,280.99208778689547,310.0252541240892,421
109,0,6,9,0,717d64da-bb85-4ad2-a257-b5034f1d57cd,303.0,303.0,310.46723894394955,427
110,0,6,5,1,f274c22f-f087-4578-be11-1a63c308cc36,184.0,279.59129746685676,310.8652623106416,308
111,2,8,2008,3,717d64da-bb85-4ad2-a257-b5034f1d57cd,310.0252541240892,310.0252541240892,312.01434525459786,421
112,1,7,1005,4,ea05589a-a6d9-4b6d-824e-391a5eafbedf,289.04199399575833,289.04199399575833,313.55162240776195,319
113,1,7,1007,4,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f,296.86195854983384,296.86195854983384,319.30733442554913,381
114,2,8,2009,0,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221,298.0,298.0,320.2420782194825,458
115,0,6,5,2,717d64da-bb85-4ad2-a257-b5034f1d57cd,310.8652623106416,312.01434525459786,321.4464148009387,308
116,1,7,1009,0,4477df26-a9e1-4942-86b6-f9bc38e48340,312.0,312.0,323.738126665949,452
117,2,8,2009,1,717d64da-bb85-4ad2-a257-b5034f1d57cd,320.2420782194825,320.2420782194825,327.0272070539073,458
118,0,6,9,1,0daca965-279b-432d-a55b-cbacf2a3ec8c,303.0,303.0,333.13976900919914,427
