,job_id,task_id,client_id,workflow_id,model_id,executing_worker_id,arrival_at_scheduler_timestamp,last_dep_dispatch_timestamp,arrival_at_worker_timestamp,execution_start_timestamp,execution_end_timestamp,dropped_timestamp,curr_unfinished_jobs,curr_idle_instances
72,2006,0,fe0fc848-2082-4781-8648-6e30096056e2,8,0,47c22603-4912-41f0-8de8-27afe92a9a70,206.0,206.0,206.0,206.0,214.10530886695332,,12,6
73,2006,1,fe0fc848-2082-4781-8648-6e30096056e2,8,1,1d2f18f0-da31-4a00-8b1f-e2fe9e6caae9,206.0,206.0,206.0,206.0,236.63676232505776,,12,6
74,2,4,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,14,566a0c01-9a3b-4ebb-bb3c-9be65d487125,206.71576391629526,206.71576391629526,206.71576391629526,206.71576391629526,209.20644474057895,,12,4
75,2002,4,fe0fc848-2082-4781-8648-6e30096056e2,8,16,8018012a-f0ff-4b2b-b4c8-5beaa68aba26,206.71576391629526,206.71576391629526,206.71576391629526,206.71576391629526,227.1466047181582,,12,4
76,3,4,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,14,566a0c01-9a3b-4ebb-bb3c-9be65d487125,207.87825313346522,209.20644474057895,209.20644474057895,209.20644474057895,211.5669080809879,,12,3
77,1003,4,b50bd890-7249-4d97-a745-64e22926a898,7,15,eae01299-0ccd-48bf-a0df-dc89c6708f4b,209.93809365613075,209.93809365613075,209.93809365613075,209.93809365613075,220.30930593964766,,11,4
78,2003,4,fe0fc848-2082-4781-8648-6e30096056e2,8,16,8018012a-f0ff-4b2b-b4c8-5beaa68aba26,209.93809365613075,227.1466047181582,227.1466047181582,227.1466047181582,247.61240596482796,,11,4
79,2004,3,fe0fc848-2082-4781-8648-6e30096056e2,8,3,5feef905-9343-4f7e-b924-85c91b8a9f80,211.35721804949466,211.35721804949466,211.35721804949466,211.35721804949466,262.87768773466513,,11,3
80,1004,3,b50bd890-7249-4d97-a745-64e22926a898,7,3,5feef905-9343-4f7e-b924-85c91b8a9f80,211.35721804949466,211.35721804949466,211.35721804949466,211.35721804949466,262.87768773466513,,11,3
81,1006,0,b50bd890-7249-4d97-a745-64e22926a898,7,0,47c22603-4912-41f0-8de8-27afe92a9a70,212.0,214.10530886695332,214.10530886695332,214.10530886695332,222.9291627404727,,11,3
82,1006,1,b50bd890-7249-4d97-a745-64e22926a898,7,1,9569f09b-010f-4622-9399-5082719f4646,212.0,212.0,212.0,212.0,245.42346797787397,,11,3
83,6,0,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,0,47c22603-4912-41f0-8de8-27afe92a9a70,212.0,214.10530886695332,214.10530886695332,214.10530886695332,222.9291627404727,,12,3
84,6,1,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,1,1d2f18f0-da31-4a00-8b1f-e2fe9e6caae9,212.0,236.63676232505776,236.63676232505776,236.63676232505776,293.87876474168286,,12,3
85,2005,3,fe0fc848-2082-4781-8648-6e30096056e2,8,3,3ea2d193-b3ab-4293-a8f0-8b422cebfa33,218.26009611501988,218.26009611501988,218.26009611501988,218.26009611501988,241.05835082180954,,12,3
86,4,4,408f40ea-3048-4a9b-a967-1f9fee0bb977,6,14,566a0c01-9a3b-4ebb-bb3c-9be65d487125,232.8038802621008,232.8038802621008,232.8038802621008,232.8038802621008,235.31059121218354,,10,5
87,2007,0,fe0fc848-2082-4781-8648-6e30096056e2,8,0,47c22603-4912-41f0-8de8-27afe92a9a70,235.0,235.0,235.0,235.0,242.01901760086133,,11,4
88,2007,1,fe0fc848-2082-4781-8648-6e30096056e2,8,1,1d2f18f0-da31-4a00-8b1f-e2fe9e6caae9,235.0,236.63676232505776,236.63676232505776,236.63676232505776,293.87876474168286,,11,4
89,2006,2,fe0fc848-2082-4781-8648-6e30096056e2,8,2,47c22603-4912-41f0-8de8-27afe92a9a70,236.63676232505776,236.63676232505776,236.63676232505776,236.63676232505776,254.25931278671328,,10,4
