,time,client_id,workflow_id,job_id,task_id,model_id,worker_id
5437,9046.748336840074,1,7,1268,4,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5438,9047.0,0,6,294,0,0,N/A
5439,9047.0,0,6,294,1,1,N/A
5440,9047.0,0,6,294,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5441,9047.0,0,6,294,1,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
5442,9048.617520473152,1,7,1287,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5443,9052.756940126912,1,7,1289,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5444,9052.756940126912,1,7,1289,2,1,0daca965-279b-432d-a55b-cbacf2a3ec8c
5445,9053.11654643304,0,6,272,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5446,9058.708534752415,0,6,278,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5447,9058.908571300277,0,6,277,3,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5448,9064.0,2,8,2290,0,16,N/A
5449,9064.0,2,8,2290,0,16,ed8e8c80-a3f5-43df-bd6d-6c3ce8c25221
5450,9068.10681740851,0,6,291,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5451,9071.063404526465,0,6,272,3,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
5452,9072.0,0,6,295,0,0,N/A
5453,9072.0,0,6,295,1,1,N/A
5454,9072.0,0,6,295,0,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5455,9072.0,0,6,295,1,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5456,9073.173708974307,0,6,278,3,3,3ec60d4b-6b12-4db4-a3a8-8b5b8d70e21f
5457,9075.882230965439,1,7,1287,4,3,28ac5dc2-d1af-458d-a52c-1d742ccb90cb
5458,9080.285014272551,2,8,2290,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5459,9080.285014272551,2,8,2290,2,1,6aae7612-e4d6-48e8-b447-8aae7480fc76
5460,9080.639793314194,0,6,292,2,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5461,9083.670870445138,2,8,2270,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5462,9084.963240659783,0,6,277,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5463,9086.0,1,7,1290,0,15,N/A
5464,9086.0,1,7,1290,0,15,4477df26-a9e1-4942-86b6-f9bc38e48340
5465,9090.59011572396,1,7,1276,3,2,717d64da-bb85-4ad2-a257-b5034f1d57cd
5466,9096.212759413096,1,7,1290,1,0,717d64da-bb85-4ad2-a257-b5034f1d57cd
5467,9096.212759413096,1,7,1290,2,1,f274c22f-f087-4578-be11-1a63c308cc36
5468,9096.666008139362,0,6,272,4,14,aa421654-f71c-474c-b528-55d93c8d2a7e
5469,9096.940142491363,0,6,292,3,3,ea05589a-a6d9-4b6d-824e-391a5eafbedf
